Date,Time,DayOfWeek,CrimeType,Severity,WeaponUsed,VictimAge,VictimGender,SuspectAge,SuspectGender,Location,Temperature,PopulationDensity,PolicePatrolFrequency,ResponseTime,CrimeRate
2022-04-13,08:00 PM,Wednesday,Theft,High,Other,44.0,Male,44.0,Male,Urban,27.735564783005373,509.97527340646695,High,16.689723712469167,0.5568805901479658
2022-12-15,03:00 AM,Thursday,Assault,High,Knife,61.0,Female,44.0,Male,Suburban,59.43861683664713,479.60434509663213,Low,13.643256304824948,0.5196678964659299
2022-09-28,12:00 AM,Wednesday,Burglary,Medium,Knife,51.0,Male,64.0,Female,Urban,42.54600026363776,509.97527340646695,Low,9.284957808118811,0.5196678964659299
2022-04-17,11:00 PM,Sunday,Theft,High,Firearm,49.0,Female,44.0,Female,Rural,34.744111756007925,419.96294607378957,Medium,6.9745149841557925,0.170130327383609
2022-03-13,08:00 AM,Sunday,Assault,Medium,Knife,20.0,Female,44.0,Female,Urban,59.43861683664713,954.1172860710103,Low,22.3324367137873,0.7618872788907525
2022-07-08,07:00 AM,Friday,Theft,Medium,Knife,20.0,Male,40.0,Female,Suburban,59.43861683664713,509.97527340646695,Low,16.689723712469167,0.5196678964659299
2022-01-21,07:00 AM,Friday,Burglary,Medium,None,45.0,Female,41.0,Male,Rural,81.95884824958327,509.97527340646695,Low,25.6613413113745,0.5196678964659299
2022-04-13,04:00 AM,Wednesday,Robbery,Medium,Firearm,44.0,Female,26.0,Male,Suburban,59.43861683664713,509.97527340646695,Low,27.844125082594964,0.026602563596563877
2022-05-02,11:00 PM,Monday,Burglary,Low,Knife,32.0,Female,52.0,Female,Rural,57.41764927769207,509.97527340646695,Medium,16.689723712469167,0.5619813416263792
2022-08-03,03:00 AM,Wednesday,Burglary,Low,Other,58.0,Male,68.0,Male,Rural,68.47174521435863,509.97527340646695,Medium,16.689723712469167,0.2142554343431844
2022-11-27,09:00 PM,Sunday,Burglary,High,Knife,44.0,Male,44.0,Male,Suburban,54.2681440455077,738.3300137008773,High,16.689723712469167,0.3408830154923571
2022-03-29,11:00 PM,Tuesday,Burglary,Low,None,44.0,Male,54.0,Female,Suburban,59.43861683664713,345.93668406328675,Low,16.689723712469167,0.5196678964659299
2022-04-10,05:00 PM,Sunday,Robbery,Low,Other,28.0,Female,59.0,Male,Rural,59.43861683664713,793.7774335446937,High,19.66148780936994,0.19203365236149617
2022-12-26,02:00 AM,Monday,Robbery,High,None,44.0,Male,44.0,Male,Rural,20.84105796333228,470.52210584741147,High,11.53112831133956,0.5196678964659299
2022-06-01,06:00 PM,Wednesday,Theft,High,Knife,44.0,Female,64.0,Female,Suburban,59.43861683664713,511.0034052254905,Low,29.54763305717357,0.5196678964659299
2022-05-11,01:00 PM,Wednesday,Assault,High,Other,53.0,Female,48.0,Male,Urban,91.46435950304982,509.97527340646695,Medium,27.447452619356305,0.5196678964659299
2022-05-30,01:00 AM,Monday,Robbery,Low,Firearm,44.0,Male,25.0,Female,Suburban,54.62719368457378,509.97527340646695,Medium,16.689723712469167,0.5196678964659299
2022-11-05,12:00 AM,Saturday,Robbery,Low,Firearm,41.0,Male,32.0,Male,Rural,62.84339784782386,509.97527340646695,Low,16.689723712469167,0.8036351471536934
2022-09-15,02:00 AM,Thursday,Assault,High,Other,56.0,Female,48.0,Female,Suburban,59.43861683664713,407.38094533114105,Low,16.689723712469167,0.5316007490178934
2022-12-10,06:00 AM,Saturday,Robbery,Medium,Other,51.0,Female,47.0,Male,Urban,59.43861683664713,509.97527340646695,Medium,20.10326572141338,0.5196678964659299
2022-10-21,07:00 AM,Friday,Burglary,High,None,44.0,Male,44.0,Male,Suburban,90.99396282962883,509.97527340646695,Low,28.395390602778647,0.4255633657183516
2022-07-11,04:00 PM,Monday,Burglary,Medium,Other,54.0,Male,44.0,Female,Rural,91.51468085359924,509.97527340646695,Low,10.850132179009247,0.5196678964659299
2022-10-04,07:00 PM,Tuesday,Assault,Medium,None,24.0,Male,44.0,Female,Suburban,46.865309171322764,509.97527340646695,Low,16.689723712469167,0.5196678964659299
2022-06-10,12:00 AM,Friday,Theft,High,Knife,21.0,Female,29.0,Female,Rural,69.20558032117583,548.0419845108499,Medium,11.48038334429966,0.5196678964659299
2022-11-10,05:00 PM,Thursday,Theft,High,None,54.0,Female,44.0,Female,Rural,94.15260497166913,687.1909591704708,High,16.689723712469167,0.39397782891724353
2022-01-22,06:00 AM,Saturday,Assault,High,Other,44.0,Female,34.0,Male,Suburban,96.96467991530812,305.9674739884723,High,5.89731877972331,0.5196678964659299
2022-09-10,10:00 PM,Saturday,Assault,Low,Other,18.0,Female,59.0,Male,Rural,59.43861683664713,313.64666465727294,Low,27.87144514801899,0.5196678964659299
2022-08-24,08:00 PM,Wednesday,Burglary,Medium,Knife,64.0,Female,47.0,Male,Rural,59.43861683664713,509.97527340646695,Medium,16.689723712469167,0.6938453862722663
2022-12-11,10:00 PM,Sunday,Theft,Low,Other,37.0,Male,46.0,Female,Urban,59.43861683664713,509.97527340646695,Low,16.689723712469167,0.645398674312485
2022-02-18,05:00 PM,Friday,Robbery,Low,Other,36.0,Male,44.0,Male,Urban,96.7097498552328,598.3273424121435,Medium,5.459291363452611,0.6873724657578066
2022-02-28,01:00 PM,Monday,Burglary,High,Firearm,44.0,Female,63.0,Male,Urban,31.42514435782939,665.3340516995814,Low,11.763044504296165,0.5196678964659299
2022-06-19,07:00 AM,Sunday,Assault,Low,Firearm,27.0,Female,28.0,Female,Urban,66.386366083818,509.97527340646695,Medium,25.118149593535776,0.5196678964659299
2022-07-07,02:00 PM,Thursday,Theft,High,Knife,44.0,Male,44.0,Female,Rural,42.60402140149111,637.197817283612,Medium,16.689723712469167,0.7597213286809253
2022-09-28,06:00 PM,Wednesday,Robbery,Medium,None,45.0,Male,44.0,Male,Suburban,42.32066322782373,509.97527340646695,High,23.844515027160384,0.5196678964659299
2022-07-09,08:00 AM,Saturday,Robbery,High,Firearm,44.0,Male,24.0,Female,Rural,52.397486990095075,568.4621957904639,Low,16.180343519844627,0.5196678964659299
2022-06-24,12:00 AM,Friday,Burglary,Low,None,44.0,Male,61.0,Male,Rural,99.90343486525236,391.45263548927625,High,16.689723712469167,0.5196678964659299
2022-02-20,05:00 AM,Sunday,Theft,Low,Other,64.0,Female,44.0,Male,Rural,24.397304547185765,509.97527340646695,High,16.689723712469167,0.5196678964659299
2022-12-30,10:00 PM,Friday,Theft,High,Firearm,48.0,Male,37.0,Female,Suburban,66.28334545628252,233.6722719314496,Medium,13.076776710143779,0.5196678964659299
2022-02-24,01:00 PM,Thursday,Assault,High,Knife,44.0,Female,67.0,Male,Urban,26.605772642822174,953.2074775520382,Low,16.689723712469167,0.5196678964659299
2022-09-01,10:00 AM,Thursday,Theft,Low,Knife,28.0,Male,44.0,Female,Rural,59.43861683664713,438.2645841573873,Medium,16.689723712469167,0.5196678964659299
2022-11-16,08:00 AM,Wednesday,Theft,Medium,Knife,66.0,Male,41.0,Female,Rural,59.43861683664713,493.348998039321,Medium,21.494091011327093,0.5196678964659299
2022-05-11,04:00 AM,Wednesday,Burglary,Medium,Firearm,44.0,Male,27.0,Male,Urban,60.836810507715306,100.07430036076704,Medium,8.424555557738195,0.5196678964659299
2022-11-03,06:00 AM,Thursday,Theft,High,None,55.0,Female,49.0,Male,Rural,59.43861683664713,85.68791806678156,Low,22.17166234337275,0.6423196509757443
2022-05-15,10:00 AM,Sunday,Robbery,Medium,Other,22.0,Female,69.0,Male,Suburban,45.31657046995329,509.97527340646695,Low,27.832492790000845,0.6798108916013302
2022-01-21,03:00 AM,Friday,Burglary,Low,None,25.0,Male,32.0,Female,Rural,59.43861683664713,561.1899309150557,Medium,20.21457886599771,0.5196678964659299
2022-11-25,02:00 AM,Friday,Burglary,High,None,51.0,Female,54.0,Male,Rural,59.43861683664713,509.97527340646695,Low,18.99638450086193,0.624942275107395
2022-06-16,12:00 PM,Thursday,Assault,Low,Other,65.0,Female,37.0,Female,Urban,97.32467515044353,280.96830390153525,Medium,29.027956700541004,0.5196678964659299
2022-10-01,03:00 AM,Saturday,Theft,Low,Other,69.0,Male,20.0,Female,Rural,59.43861683664713,757.5131950484262,Low,16.689723712469167,0.5196678964659299
2022-03-30,11:00 AM,Wednesday,Assault,Medium,Firearm,29.0,Male,54.0,Male,Rural,46.7902632109588,509.97527340646695,Low,11.488760831827065,0.790773063732034
2022-11-12,11:00 AM,Saturday,Robbery,High,Firearm,44.0,Female,57.0,Female,Suburban,59.43861683664713,509.97527340646695,High,12.30977559619351,0.3739278697067838
2022-01-14,07:00 PM,Friday,Burglary,High,Firearm,18.0,Female,44.0,Male,Urban,92.76763128887555,487.6765627808617,Medium,22.63266606339818,0.5196678964659299
2022-08-30,08:00 AM,Tuesday,Burglary,Medium,Firearm,48.0,Female,44.0,Male,Urban,59.43861683664713,509.97527340646695,High,23.385914847304658,0.04732453013642135
